"arvore";"dap";"ht";"hi";"dicc";"disc"
5;28,17;18,49;6,47;18,37;16,77
5;28,17;18,49;8,32;16,84;15,54
5;28,17;18,49;10,17;16,65;15,55
5;28,17;18,49;12,02;15,28;14,18
5;28,17;18,49;13,87;10,76;9,96
5;28,17;18,49;15,72;7,23;6,93
5;28,17;18,49;17,57;0,32;0,12
6;20,47;18,3;0,02;30,75;25,75
6;20,47;18,3;0,18;25,21;21,31
6;20,47;18,3;0,37;23,68;20,38
6;20,47;18,3;0,55;22,66;19,66
6;20,47;18,3;0,73;21,93;18,93
6;20,47;18,3;0,92;21,71;19,01
6;20,47;18,3;1,83;19;17
6;20,47;18,3;2,74;18,37;16,57
6;20,47;18,3;4,57;16,46;14,96
6;20,47;18,3;6,41;15,88;14,78
6;20,47;18,3;8,23;14,51;13,51
6;20,47;18,3;10,06;13,78;12,88
6;20,47;18,3;11,9;12,16;11,36
6;20,47;18,3;13,71;10,5;9,8
6;20,47;18,3;15,56;7;6,4
6;20,47;18,3;17,39;0,32;0,32
7;34,22;22,18;0,09;45,23;38,23
7;34,22;22,18;0,22;41,54;35,54
7;34,22;22,18;0,44;38,42;33,32
7;34,22;22,18;0,67;37,31;32,61
7;34,22;22,18;0,89;36,19;32,19
7;34,22;22,18;1,11;35,05;31,15
7;34,22;22,18;2,22;32,02;28,62
7;34,22;22,18;3,33;30,72;27,72
7;34,22;22,18;5,55;29;27,1
7;34,22;22,18;7,76;26,13;24,43
7;34,22;22,18;9,98;24,06;22,66
7;34,22;22,18;12,2;22,12;20,92
7;34,22;22,18;14,42;20,05;19,05
7;34,22;22,18;16,64;16,97;16,07
7;34,22;22,18;18,85;11,81;11,21
7;34,22;22,18;21,07;2,9;2,7
8;30,94;19,53;0,06;41,92;35,82
8;30,94;19,53;0,2;39,85;34,95
8;30,94;19,53;0,39;35,17;30,67
8;30,94;19,53;0,59;33,23;29,23
8;30,94;19,53;0,78;32,72;28,72
8;30,94;19,53;0,98;31,99;28,39
8;30,94;19,53;1,95;29,38;26,18
8;30,94;19,53;2,93;27,69;24,89
8;30,94;19,53;4,88;25,31;22,91
8;30,94;19,53;6,84;23,49;21,49
8;30,94;19,53;8,79;21,8;20
8;30,94;19,53;10,74;20,18;18,48
8;30,94;19,53;12,69;18,33;16,83
8;30,94;19,53;14,65;15,76;14,76
8;30,94;19,53;16,57;10,25;9,65
8;30,94;19,53;18,55;0,32;0,32
9;16,07;12,71;0,03;27,63;19,63
9;16,07;12,71;0,13;24,76;17,96
9;16,07;12,71;0,25;21,84;15,84
9;16,07;12,71;0,38;20,09;15,59
9;16,07;12,71;0,51;19,42;14,92
9;16,07;12,71;0,64;18,53;14,03
9;16,07;12,71;1,27;16,23;12,53
9;16,07;12,71;1,91;14,96;11,76
9;16,07;12,71;3,18;12,67;10,47
9;16,07;12,71;4,45;11,55;9,55
9;16,07;12,71;5,72;9,3;7,5
9;16,07;12,71;6,99;8,69;7,29
9;16,07;12,71;8,26;6,05;4,85
9;16,07;12,71;9,53;3,28;2,38
9;16,07;12,71;10,8;3,15;2,75
9;16,07;12,71;12,07;1,15;0,95
10;39,69;20,3;0,02;48,86;40,86
10;39,69;20,3;0,2;45,2;38,1
10;39,69;20,3;0,41;42,4;36,1
10;39,69;20,3;0,61;42,37;36,47
10;39,69;20,3;0,81;41,73;36,23
10;39,69;20,3;1,01;40,87;35,37
10;39,69;20,3;2,03;36,83;31,93
10;39,69;20,3;3,05;33,58;30,68
10;39,69;20,3;5,07;30,91;28,81
10;39,69;20,3;7,11;29,57;27,77
10;39,69;20,3;9,14;28,07;26,27
10;39,69;20,3;11,16;26,9;25,3
10;39,69;20,3;13,15;24,96;23,66
10;39,69;20,3;15,23;22,76;21,66
10;39,69;20,3;17,25;11,97;11,37
10;39,69;20,3;19,28;2,87;2,47
11;13,05;14,83;0,03;17,76;15,76
11;13,05;14,83;0,15;15,92;14,02
11;13,05;14,83;0,3;14,83;13,33
11;13,05;14,83;0,44;14,04;12,74
11;13,05;14,83;0,59;13,94;12,74
11;13,05;14,83;0,74;13,91;12,91
11;13,05;14,83;1,48;12,51;11,51
11;13,05;14,83;2,22;11,81;10,81
11;13,05;14,83;3,71;11,14;10,34
11;13,05;14,83;5,19;10,03;9,23
11;13,05;14,83;6,67;8,98;8,28
11;13,05;14,83;8,16;8,18;7,58
11;13,05;14,83;9,66;7,04;6,44
11;13,05;14,83;11,12;5,98;5,58
11;13,05;14,83;12,61;3,41;3,21
11;13,05;14,83;14,09;1,21;1,21
12;11,46;7,32;0,05;17;11,3
12;11,46;7,32;0,07;16,77;13,17
12;11,46;7,32;0,15;15,95;12,65
12;11,46;7,32;0,22;15,72;12,52
12;11,46;7,32;0,29;14,87;11,77
12;11,46;7,32;0,37;14,26;11,16
12;11,46;7,32;0,73;13,02;10,12
12;11,46;7,32;1,1;11,94;9,14
12;11,46;7,32;1,83;10,63;8,23
12;11,46;7,32;2,59;8,82;6,92
12;11,46;7,32;3,29;7,67;6,57
12;11,46;7,32;4,03;6,84;6,14
12;11,46;7,32;4,77;5,67;4,97
12;11,46;7,32;5,49;3,79;3,39
12;11,46;7,32;6,22;0,03;-0,17
12;11,46;7,32;6,95;0,03;0,03
14;21,36;22,19;0,08;30,18;23,18
14;21,36;22,19;0,22;21,8;16,2
14;21,36;22,19;0,44;21,49;16,89
14;21,36;22,19;0,67;21,42;17,12
14;21,36;22,19;0,89;21,42;17,42
14;21,36;22,19;1,11;21,36;17,56
14;21,36;22,19;2,22;20,4;16,8
14;21,36;22,19;3,33;18,84;15,94
14;21,36;22,19;5,55;16,97;15,37
14;21,36;22,19;7,77;15,31;14,11
14;21,36;22,19;9,99;13,56;12,76
14;21,36;22,19;12,2;13,37;12,77
14;21,36;22,19;14,42;11,36;10,96
14;21,36;22,19;16,64;9,96;9,56
14;21,36;22,19;18,86;7,58;7,18
14;21,36;22,19;21,08;3,22;3,02
15;24,35;23,58;0,08;36,22;27,22
15;24,35;23,58;0,24;31;23,8
15;24,35;23,58;0,47;27,53;22,43
15;24,35;23,58;0,71;26,87;22,17
15;24,35;23,58;0,94;26,29;21,89
15;24,35;23,58;1,18;24,48;20,68
15;24,35;23,58;2,36;23,24;20,04
15;24,35;23,58;3,54;20,56;17,56
15;24,35;23,58;5,89;19,19;16,89
15;24,35;23,58;8,25;17,63;15,83
15;24,35;23,58;10,65;15,53;14,23
15;24,35;23,58;12,97;14,42;13,42
15;24,35;23,58;15,33;12,96;12,26
15;24,35;23,58;17,68;10,95;10,35
15;24,35;23,58;20,04;7,58;7,18
15;24,35;23,58;22,4;3,02;2,82
16;36,48;28,15;0,02;55,35;45,05
16;36,48;28,15;0,28;45,61;37,51
16;36,48;28,15;0,56;42,49;35,19
16;36,48;28,15;0,84;37,69;30,99
16;36,48;28,15;1,13;37,15;31,25
16;36,48;28,15;1,41;35,49;30,29
16;36,48;28,15;2,82;32,82;28,82
16;36,48;28,15;4,22;30,94;27,34
16;36,48;28,15;7,04;30,91;28,01
16;36,48;28,15;9,85;27,12;24,52
16;36,48;28,15;12,67;25,43;23,73
16;36,48;28,15;15,48;23,65;22,35
16;36,48;28,15;18,3;21,23;20,33
16;36,48;28,15;21,11;17,41;16,61
16;36,48;28,15;23,93;11,59;10,99
16;36,48;28,15;26,74;4,68;4,28
18;18,53;19,52;0,02;28,46;21,76
18;18,53;19,52;0,2;24,86;20,36
18;18,53;19,52;0,39;22,66;19,26
18;18,53;19,52;0,59;21,33;18,33
18;18,53;19,52;0,78;19,96;17,06
18;18,53;19,52;0,98;19,26;16,86
18;18,53;19,52;1,95;16,9;14,8
18;18,53;19,52;2,93;16,49;14,99
18;18,53;19,52;4,88;14,93;13,83
18;18,53;19,52;6,83;13,94;12,94
18;18,53;19,52;8,78;12,1;11,3
18;18,53;19,52;10,74;11,55;10,75
18;18,53;19,52;12,69;9,77;9,17
18;18,53;19,52;14,64;7,7;7,2
18;18,53;19,52;16,59;5,13;4,73
18;18,53;19,52;18,52;0,03;-0,17
19;31,51;17,1;0,07;47,75;38,75
19;31,51;17,1;0,17;43,86;37,86
19;31,51;17,1;0,34;40,9;36,9
19;31,51;17,1;0,51;37,05;33,05
19;31,51;17,1;0,68;35,33;31,53
19;31,51;17,1;0,85;34,47;31,47
19;31,51;17,1;1,71;30,72;28,92
19;31,51;17,1;2,56;27,69;26,69
19;31,51;17,1;4,22;26,13;25,13
19;31,51;17,1;5,98;24,83;24,03
19;31,51;17,1;7,69;23,36;22,56
19;31,51;17,1;9,3;22,38;21,78
19;31,51;17,1;11,16;20,05;19,45
19;31,51;17,1;12,87;14,99;14,59
19;31,51;17,1;14,53;10,22;10,02
19;31,51;17,1;16,24;3,18;2,98
21;24,76;16,76;0,08;34,85;26,85
21;24,76;16,76;0,16;30,81;23,31
21;24,76;16,76;0,33;28,3;22,3
21;24,76;16,76;0,5;26,87;20,87
21;24,76;16,76;0,67;26,01;21,01
21;24,76;16,76;0,83;25,27;20,57
21;24,76;16,76;1,67;23,91;19,91
21;24,76;16,76;2,51;22,95;19,65
21;24,76;16,76;4,19;19,7;17,7
21;24,76;16,76;5,86;17,79;15,99
21;24,76;16,76;7,52;16,71;15,51
21;24,76;16,76;9,26;14,74;13,94
21;24,76;16,76;10,89;12,35;11,95
21;24,76;16,76;12,57;11,3;10,9
21;24,76;16,76;14,28;6,94;6,74
21;24,76;16,76;15,92;2,45;2,25
22;14,39;13;0,07;27,34;21,34
22;14,39;13;0,13;23,46;18,86
22;14,39;13;0,26;21,39;17,49
22;14,39;13;0,39;19,58;16,38
22;14,39;13;0,52;17,89;14,89
22;14,39;13;0,65;17,03;14,23
22;14,39;13;1,3;14,39;11,99
22;14,39;13;1,95;13,75;11,85
22;14,39;13;3,25;12;10,2
22;14,39;13;4,55;10,82;9,52
22;14,39;13;5,85;9,39;8,49
22;14,39;13;7,15;8,5;7,8
22;14,39;13;8,45;7,58;6,98
22;14,39;13;9,75;5,76;5,36
22;14,39;13;11,05;3,15;2,95
22;14,39;13;12,35;1,59;1,39
23;19,45;14,45;0,07;31,19;19,19
23;19,45;14,45;0,14;27,37;16,37
23;19,45;14,45;0,29;26,74;18,24
23;19,45;14,45;0,43;24,76;16,76
23;19,45;14,45;0,58;23,24;17,24
23;19,45;14,45;0,72;21,77;16,27
23;19,45;14,45;1,44;18,68;14,68
23;19,45;14,45;2,16;16,74;13,74
23;19,45;14,45;3,61;15,47;13,07
23;19,45;14,45;5,05;12,86;10,86
23;19,45;14,45;6,5;11,59;10,19
23;19,45;14,45;7,94;10,41;9,11
23;19,45;14,45;9,39;8,82;8,32
23;19,45;14,45;10,83;7,23;6,83
23;19,45;14,45;12,28;3,98;3,68
23;19,45;14,45;13,72;1,53;1,33
24;12,57;11,2;0,05;18,78;14,78
24;12,57;11,2;0,11;17,19;14,19
24;12,57;11,2;0,22;16,46;13,46
24;12,57;11,2;0,33;15,28;13,28
24;12,57;11,2;0,44;14,93;12,93
24;12,57;11,2;0,56;14,48;12,48
24;12,57;11,2;1,12;13,02;11,22
24;12,57;11,2;1,68;12,41;10,71
24;12,57;11,2;2,8;10,85;9,65
24;12,57;11,2;3,92;10,15;9,35
24;12,57;11,2;5,04;8,28;7,68
24;12,57;11,2;6,16;7,32;6,92
24;12,57;11,2;7,28;6,56;6,36
24;12,57;11,2;8,4;5,48;5,28
24;12,57;11,2;9,52;3,98;3,78
24;12,57;11,2;10,64;2,1;1,9
25;34,44;20,15;0,2;49,02;38,22
25;34,44;20,15;0,26;43,61;33,91
25;34,44;20,15;0,4;40,87;33,77
25;34,44;20,15;0,6;38,29;32,19
25;34,44;20,15;0,8;37,53;31,93
25;34,44;20,15;1;35,49;30,69
25;34,44;20,15;2,01;32,82;28,92
25;34,44;20,15;3,02;32,18;29,38
25;34,44;20,15;5,03;27,88;25,68
25;34,44;20,15;7,05;26,07;24,37
25;34,44;20,15;9,06;23,01;21,81
25;34,44;20,15;11,08;20,75;19,95
25;34,44;20,15;13,09;18,21;17,61
25;34,44;20,15;15,19;14,07;13,57
25;34,44;20,15;17,12;9,07;8,77
25;34,44;20,15;19,19;3,28;3,08
26;36,29;26,19;0,09;50,15;44,85
26;36,29;26,19;0,26;44,93;41,13
26;36,29;26,19;0,52;40,24;37,34
26;36,29;26,19;0,79;38,01;35,91
26;36,29;26,19;1,05;37,01;35,01
26;36,29;26,19;1,3;36,35;34,35
26;36,29;26,19;2,62;34,44;32,44
26;36,29;26,19;3,93;32,85;31,35
26;36,29;26,19;6,55;29;27,7
26;36,29;26,19;9,17;26,45;25,25
26;36,29;26,19;11,79;23,59;22,49
26;36,29;26,19;14,4;21,74;21,04
26;36,29;26,19;17,02;19,35;18,65
26;36,29;26,19;19,64;17,06;16,46
26;36,29;26,19;22;11,17;10,67
26;36,29;26,19;24,9;3,69;3,39
27;20,37;21;0,06;29,26;23,46
27;20,37;21;0,21;27,02;21,42
27;20,37;21;0,42;25,71;20,21
27;20,37;21;0,63;25,14;19,64
27;20,37;21;0,84;24,6;19,1
27;20,37;21;1,05;24,6;19,1
27;20,37;21;2,1;24,57;20,57
27;20,37;21;3,15;19,74;17,54
27;20,37;21;5,25;18,4;16,5
27;20,37;21;7,35;16,23;15,53
27;20,37;21;9,45;14,48;13,88
27;20,37;21;11,55;13,5;13,1
27;20,37;21;13,65;12,13;11,73
27;20,37;21;15,75;10,22;9,82
27;20,37;21;17,85;6,94;6,74
27;20,37;21;19,95;3,82;3,62
28;42,97;23,59;0,07;57,11;50,61
28;42,97;23,59;0,24;55,2;48,7
28;42,97;23,59;0,47;51,51;45,01
28;42,97;23,59;0,71;47,65;41,95
28;42,97;23,59;0,94;45,3;40,3
28;42,97;23,59;1,18;44,41;39,41
28;42,97;23,59;2,36;43,95;39,95
28;42,97;23,59;3,54;36,51;32,71
28;42,97;23,59;5,9;31,89;28,89
28;42,97;23,59;8,26;28,81;25,81
28;42,97;23,59;10,62;27,18;24,28
28;42,97;23,59;12,97;24,86;22,46
28;42,97;23,59;15,33;21,71;20,41
28;42,97;23,59;17,75;15,6;14,4
28;42,97;23,59;20,05;9,49;8,79
28;42,97;23,59;22,41;4,04;3,84
29;31,8;22,2;0,08;43,41;40,11
29;31,8;22,2;0,22;38,79;35,49
29;31,8;22,2;0,44;34,75;31,45
29;31,8;22,2;0,67;33,63;30,33
29;31,8;22,2;0,89;33,19;29,89
29;31,8;22,2;1,11;31,92;28,62
29;31,8;22,2;2,22;31,35;28,25
29;31,8;22,2;3,33;29,89;27,19
29;31,8;22,2;5,55;27,69;25,39
29;31,8;22,2;7,77;25,43;23,73
29;31,8;22,2;9,99;23,17;22,07
29;31,8;22,2;12,21;21,04;20,34
29;31,8;22,2;14,43;18,56;17,86
29;31,8;22,2;16,65;14,99;14,29
29;31,8;22,2;18,87;10,19;9,79
29;31,8;22,2;21,09;2,45;2,45
30;18,21;14,15;0,03;25,15;21,45
30;18,21;14,15;0,14;24,07;20,47
30;18,21;14,15;0,28;22,69;19,19
30;18,21;14,15;0,42;22,21;18,81
30;18,21;14,15;0,57;21,76;18,46
30;18,21;14,15;0,71;20,44;17,44
30;18,21;14,15;1,41;17,63;15,43
30;18,21;14,15;2,12;17,19;14,99
30;18,21;14,15;3,54;16,14;13,94
30;18,21;14,15;4,95;14,26;13,06
30;18,21;14,15;6,37;12,73;12,23
30;18,21;14,15;7,78;10,66;10,26
30;18,21;14,15;9,2;9,04;8,64
30;18,21;14,15;10,61;6,78;6,48
30;18,21;14,15;12,05;3,82;3,62
30;18,21;14,15;13,44;1,43;1,23
31;28,58;18,12;0,06;42,55;34,95
31;28,58;18,12;0,18;39,07;33,07
31;28,58;18,12;0,36;35,52;30,62
31;28,58;18,12;0,54;33,51;28,81
31;28,58;18,12;0,72;32,41;28,11
31;28,58;18,12;0,91;31,87;27,57
31;28,58;18,12;1,81;28,04;25,24
31;28,58;18,12;2,72;25,88;23,48
31;28,58;18,12;4,53;23,33;21,13
31;28,58;18,12;6,34;21,68;19,88
31;28,58;18,12;8,15;20,37;19,17
31;28,58;18,12;9,97;18,46;17,26
31;28,58;18,12;11,78;17,57;16,37
31;28,58;18,12;13,59;13,69;12,89
31;28,58;18,12;15,4;7,89;7,09
31;28,58;18,12;17,21;2,67;2,27
32;41,7;23,34;0,1;60,17;51,47
32;41,7;23,34;0,23;56,34;49,34
32;41,7;23,34;0,46;49,72;43,42
32;41,7;23,34;0,7;46,03;40,43
32;41,7;23,34;0,93;43,3;38,2
32;41,7;23,34;1,16;41,78;37,08
32;41,7;23,34;2,33;40,3;35,8
32;41,7;23,34;3,5;37,59;33,09
32;41,7;23,34;5,83;32,59;29,49
32;41,7;23,34;8,16;30,02;27,42
32;41,7;23,34;10,5;24,89;22,39
32;41,7;23,34;12,83;24,57;22,57
32;41,7;23,34;15,17;22,38;21,08
32;41,7;23,34;17,5;16,93;16,03
32;41,7;23,34;19,83;11,52;10,92
32;41,7;23,34;22,14;4,27;3,87
33;31,42;16,3;0,07;41,92;34,12
33;31,42;16,3;0,16;37,21;33,01
33;31,42;16,3;0,32;35,83;31,83
33;31,42;16,3;0,48;34,4;30,4
33;31,42;16,3;0,65;33,5;29,6
33;31,42;16,3;0,81;32,37;28,97
33;31,42;16,3;1,63;31,77;28,57
33;31,42;16,3;2,44;31,7;28,7
33;31,42;16,3;4,07;28,97;25,97
33;31,42;16,3;5,7;24,86;22,36
33;31,42;16,3;7,33;22;19,8
33;31,42;16,3;8,9;19,54;17,44
33;31,42;16,3;10,59;16,11;14,71
33;31,42;16,3;12,22;11,46;10,36
33;31,42;16,3;13,85;6,84;6,24
33;31,42;16,3;15,44;2,48;2,28
34;30,02;19,52;0,05;41,66;36,06
34;30,02;19,52;0,19;37,14;32,44
34;30,02;19,52;0,39;34,54;30,14
34;30,02;19,52;0,58;33,37;28,97
34;30,02;19,52;0,78;32,37;28,27
34;30,02;19,52;0,97;31,61;28,01
34;30,02;19,52;1,95;30,78;28,38
34;30,02;19,52;2,92;29,16;26,86
34;30,02;19,52;4,88;27,06;24,86
34;30,02;19,52;6,83;25,05;22,85
34;30,02;19,52;8,78;22,92;21,72
34;30,02;19,52;10,73;20,69;19,79
34;30,02;19,52;12,68;18,81;18,21
34;30,02;19,52;14,64;14,01;13,41
34;30,02;19,52;16,59;8,28;7,88
34;30,02;19,52;18,54;2,07;1,87
35;23,08;16,9;0,07;30,72;27,22
35;23,08;16,9;0,16;29,43;26,13
35;23,08;16,9;0,33;27,19;24,29
35;23,08;16,9;0,5;26,48;23,68
35;23,08;16,9;0,67;25,4;22,6
35;23,08;16,9;0,84;24,76;21,96
35;23,08;16,9;1,69;24,7;21,9
35;23,08;16,9;2,53;22,73;20,33
35;23,08;16,9;4,22;21,01;18,71
35;23,08;16,9;5,91;18,46;17,36
35;23,08;16,9;7,6;17,19;16,29
35;23,08;16,9;9,29;15,28;14,48
35;23,08;16,9;10,98;14,1;13,5
35;23,08;16,9;12,67;10,38;9,98
35;23,08;16,9;14,36;7,32;6,92
35;23,08;16,9;16,05;2,96;2,76
37;19,89;13,9;0,05;29,66;21,96
37;19,89;13,9;0,13;26,39;20,79
37;19,89;13,9;0,27;24,74;20,24
37;19,89;13,9;0,41;24,04;19,74
37;19,89;13,9;0,55;23,46;19,26
37;19,89;13,9;0,69;21,5;19,1
37;19,89;13,9;1,38;20,82;18,42
37;19,89;13,9;2,07;20,82;18,42
37;19,89;13,9;3,46;19,1;16,9
37;19,89;13,9;4,88;18,08;16,38
37;19,89;13,9;6,27;16,65;14,95
37;19,89;13,9;7,61;16,3;14,6
37;19,89;13,9;9;12,83;12,13
37;19,89;13,9;10,38;9,77;9,37
37;19,89;13,9;11,77;4,2;3,8
37;19,89;13,9;13,15;1,59;1,39
38;35,65;21,73;0,08;46,77;39,37
38;35,65;21,73;0,21;42,48;36,38
38;35,65;21,73;0,43;40,16;34,06
38;35,65;21,73;0,65;38,85;32,85
38;35,65;21,73;0,86;36,09;31,99
38;35,65;21,73;1,08;36,06;31,96
38;35,65;21,73;2,17;35,97;32,57
38;35,65;21,73;3,25;35,27;32,47
38;35,65;21,73;5,43;31,16;28,56
38;35,65;21,73;7,6;29,03;26,63
38;35,65;21,73;9,77;27,34;25,14
38;35,65;21,73;11,95;24,54;22,54
38;35,65;21,73;14,12;20,69;19,59
38;35,65;21,73;16,29;13,69;13,09
38;35,65;21,73;18,4;9,87;9,37
38;35,65;21,73;20,6;3,44;3,14
39;34,38;18,33;0,06;44,13;38,93
39;34,38;18,33;0,18;41,61;37,11
39;34,38;18,33;0,36;39,26;35,46
39;34,38;18,33;0,54;37,7;33,9
39;34,38;18,33;0,73;36,9;33,1
39;34,38;18,33;0,91;35,89;32,09
39;34,38;18,33;1,83;35,17;31,67
39;34,38;18,33;2,74;33,96;30,46
39;34,38;18,33;4,58;30,88;27,88
39;34,38;18,33;6,35;29,28;26,98
39;34,38;18,33;8,24;26,1;23,9
39;34,38;18,33;10,08;24,89;23,79
39;34,38;18,33;11,91;20,37;19,47
39;34,38;18,33;13,74;12,96;12,36
39;34,38;18,33;15,58;7,35;6,95
39;34,38;18,33;17,41;2,23;2,03
40;26,48;18,5;0,08;31,2;27,5
40;26,48;18,5;0,18;28,75;25,85
40;26,48;18,5;0,37;28,07;25,37
40;26,48;18,5;0,55;27,39;24,89
40;26,48;18,5;0,74;27,04;24,54
40;26,48;18,5;0,92;26,76;24,26
40;26,48;18,5;1,85;26,52;24,52
40;26,48;18,5;2,77;26,52;24,52
40;26,48;18,5;4,62;24,41;22,91
40;26,48;18,5;6,47;23,08;22,08
40;26,48;18,5;8,32;22,15;21,25
40;26,48;18,5;10,27;20,12;19,52
40;26,48;18,5;12,06;15,53;14,93
40;26,48;18,5;13,87;11,78;11,38
40;26,48;18,5;15,72;6,46;6,06
40;26,48;18,5;17,57;2,87;2,67
41;26,26;19,52;0,07;36,15;27,85
41;26,26;19,52;0,19;34,24;26,74
41;26,26;19,52;0,39;32,66;25,66
41;26,26;19,52;0,58;31,69;24,89
41;26,26;19,52;0,78;29,65;23,55
41;26,26;19,52;0,97;29,42;24,32
41;26,26;19,52;1,95;26,74;22,44
41;26,26;19,52;2,92;25,88;22,68
41;26,26;19,52;4,88;24,19;21,39
41;26,26;19,52;6,83;22,66;20,36
41;26,26;19,52;8,78;22,54;20,24
41;26,26;19,52;10,73;19,19;18,19
41;26,26;19,52;12,6;15,34;14,64
41;26,26;19,52;14,64;11,27;10,67
41;26,26;19,52;16,59;7,89;7,39
41;26,26;19,52;18,54;2,64;2,44
42;16,52;14,44;0,04;22,63;17,83
42;16,52;14,44;0,14;21,15;16,55
42;16,52;14,44;0,28;19,5;15,6
42;16,52;14,44;0,43;19,4;15,6
42;16,52;14,44;0,57;18,92;15,12
42;16,52;14,44;0,72;17,34;14,64
42;16,52;14,44;1,44;16,93;14,63
42;16,52;14,44;2,16;16,93;14,63
42;16,52;14,44;3,61;14,8;13,8
42;16,52;14,44;5,05;13,37;12,37
42;16,52;14,44;6,49;12,73;12,03
42;16,52;14,44;7,94;11,08;10,48
42;16,52;14,44;9,38;9,14;8,64
42;16,52;14,44;10,83;6,97;6,57
42;16,52;14,44;12,27;4,46;4,26
42;16,52;14,44;13,71;2,55;2,35
43;20,37;16,94;0,05;30,11;25,91
43;20,37;16,94;0,17;28,86;24,76
43;20,37;16,94;0,34;26,3;22,6
43;20,37;16,94;0,51;24,93;21,33
43;20,37;16,94;0,68;24,13;20,63
43;20,37;16,94;0,85;22,75;20,05
43;20,37;16,94;1,69;20,85;18,85
43;20,37;16,94;2,54;20,79;18,79
43;20,37;16,94;4,24;18,14;16,14
43;20,37;16,94;5,93;16,58;15,58
43;20,37;16,94;7,62;15,12;14,42
43;20,37;16,94;9,32;13,27;12,77
43;20,37;16,94;11,01;12,1;11,6
43;20,37;16,94;12,66;9,58;9,18
43;20,37;16,94;14,4;5,73;5,33
43;20,37;16,94;16,09;2,36;2,16
44;15,12;11,76;0,05;22,44;18,14
44;15,12;11,76;0,12;21,32;17,32
44;15,12;11,76;0,24;19,36;16,36
44;15,12;11,76;0,35;18,63;15,63
44;15,12;11,76;0,47;17,9;14,9
44;15,12;11,76;0,59;17,47;14,67
44;15,12;11,76;1,18;15,86;13,46
44;15,12;11,76;1,76;14,26;12,26
44;15,12;11,76;2,94;12,35;11,25
44;15,12;11,76;4,12;10,76;10,26
44;15,12;11,76;5,29;9,84;9,44
44;15,12;11,76;6,47;8,75;8,35
44;15,12;11,76;7,64;7;6,8
44;15,12;11,76;8,82;4,74;4,64
